respid,sp_age,sp_totinc,sp_retinc,sp_hlth,sp_atr_w,sp_atr_r
3340,0,0.0,0.0,0,0.0,0.0
3343,0,0.0,0.0,0,0.0,0.0
3362,70,10033.11704785413,10033.11704785413,1,0.08141855624652862,0.08141855624652862
3365,0,0.0,0.0,0,0.0,0.0
3381,63,0.4733618627045113,0.5693466296750566,1,0.17800702618309525,0.13260632304864217
3390,65,36089.37435047755,26000.0,1,0.05618795809045141,0.0
3398,60,60277.54082059463,33256.44167701348,1,0.22581136287303985,0.10894360314390704
3405,63,45789.23225563342,11999.673392412948,1,0.07479379472930958,9.072336458983088e-06
3406,0,0.0,0.0,0,0.0,0.0
3434,0,0.0,0.0,0,0.0,0.0
3435,70,29343.65001388251,29343.65001388251,1,0.1331603278395583,0.1331603278395583
3442,70,30626.56362728223,30626.56362728223,1,0.06336457457494322,0.06336457457494322
3446,0,0.0,0.0,0,0.0,0.0
3452,0,0.0,0.0,0,0.0,0.0
3457,0,0.0,0.0,0,0.0,0.0
3474,0,0.0,0.0,0,0.0,0.0
3488,63,592.0810848821424,905.3496746931636,1,0.12389378067991434,0.022784367036312
3491,68,21259.345210676525,25838.225852736592,2,0.1491509701656403,0.11320930548274202
3501,62,21396.71108744329,18242.097842368315,1,0.11423097130383848,0.009938652239397648
3505,0,0.0,0.0,0,0.0,0.0
3522,67,72065.83471802901,72065.83471802901,1,0.1714881216466938,0.1714881216466938
3531,65,1715.7094628174925,1715.7094628174925,1,0.05519929747773754,0.05519929747773754
3532,63,0.0,0.0,1,0.1580944264832766,0.1580944264832766
3541,67,6371.580127774858,6371.580127774858,1,0.020988632816887037,0.020988632816887037
3550,60,12598.613952391412,12598.613952391412,1,0.04178013256621892,0.04178013256621892
3557,64,45252.266569293235,45252.266569293235,1,0.12267289029615419,0.12267289029615419
3564,0,0.0,0.0,0,0.0,0.0
3572,65,48457.8127503144,48457.8127503144,1,0.10972519451377913,0.10972519451377913
3586,0,0.0,0.0,0,0.0,0.0
3587,0,0.0,0.0,0,0.0,0.0
3601,0,0.0,0.0,0,0.0,0.0
3631,65,9386.99684313085,9386.99684313085,1,0.016949387552183684,0.016949387552183684
3633,0,0.0,0.0,0,0.0,0.0
3642,0,0.0,0.0,0,0.0,0.0
3656,61,28331.587240505934,33642.89954687384,2,0.11623381519184112,0.06769702688775805
3663,0,0.0,0.0,0,0.0,0.0
3680,0,0.0,0.0,0,0.0,0.0
3692,66,18249.2878114844,20353.936575595875,1,0.13212007249851446,0.10741764645738464
3695,64,54333.44151521935,54333.44151521935,1,0.13488200416928475,0.13488200416928475
3698,67,0.0,0.0,1,0.0,0.0
3699,0,0.0,0.0,0,0.0,0.0
3715,70,14043.203866784446,14043.203866784446,1,0.09333643230913546,0.09333643230913546
3721,60,7282.16494387282,8223.080303505918,2,0.09508968680064939,0.06222638269299308
3729,63,0.0,0.0,1,7.607798845367433e-06,7.607798845367433e-06
3750,61,998.7805667237452,998.7805667237452,1,0.040101504664877836,0.040101504664877836
3751,62,8190.202424585649,8190.202424585649,1,0.0,0.0
3771,60,13537.057095027607,13537.057095027607,1,0.02093280735045891,0.02093280735045891
3777,66,18315.426443182852,18315.426443182852,1,0.015079486362309642,0.015079486362309642
3785,62,10555.351152272704,10555.351152272704,1,0.03913019251528584,0.03913019251528584
3795,69,10434.00819307761,10434.00819307761,1,0.04641249701211972,0.04641249701211972
3802,69,58206.467981323156,35888.988726137824,1,0.1664894980037835,0.08683760082538405
3807,65,22817.41307574346,22895.23899539968,1,0.1348007342680545,0.13417985580761776
3822,62,38962.795268199,38962.795268199,1,0.10797867417683601,0.10797867417683601
3826,70,8924.506928981471,8924.506928981471,1,0.0,0.0
3899,60,18052.299964845788,18052.299964845788,1,0.0268168039426176,0.0268168039426176
3908,65,6518.7834093014035,6518.7834093014035,1,0.10124578872359537,0.10124578872359537
3910,70,73416.79908064358,73416.79908064358,1,0.20372479383556072,0.20372479383556072
3914,62,39918.00393400028,39918.00393400028,1,0.1200617514390644,0.1200617514390644
3924,67,17922.78345792799,17922.78345792799,1,0.03076454868881854,0.03076454868881854
3926,0,0.0,0.0,0,0.0,0.0
3930,62,25159.177820836594,25159.177820836594,1,0.1060591618525459,0.1060591618525459
3931,63,2336.4064921010345,2336.4064921010345,1,0.05987490864208844,0.05987490864208844
